R00,"Abnormalities of heart beat"
R74,"Abnormal serum enzyme levels"
R75,"Inconclusive laboratory evidence of human immunodeficiency virus [HIV]"
R76,"Other abnormal immunological findings in serum"
R761,"Nonspecific reaction to test for tuberculosis"
R768,"Other specified abnormal immunological findings in serum"
R769,"Abnormal immunological finding in serum, unspecified"
R77,"Other abnormalities of plasma proteins"
R78,"Findings of drugs and other substances, not normally found in blood"
R787,"Finding of abnormal level of heavy metals in blood"
R788,"Finding of other specified substances, not normally found in blood"
R789,"Finding of unspecified substance, not normally found in blood"
R79,"Other abnormal findings of blood chemistry"
R798,"Other specified abnormal findings of blood chemistry"
R799,"Abnormal finding of blood chemistry, unspecified"
R80,"Proteinuria"
R81,"Glycosuria"
R82,"Other and unspecified abnormal findings in urine"
R827,"Abnormal findings on microbiological examination of urine"
R828,"Abnormal findings on cytological and histological examination of urine"
R829,"Other and unspecified abnormal findings in urine"
R83,"Abnormal findings in cerebrospinal fluid"
R84,"Abnormal findings in specimens from respiratory organs and thorax"
R85,"Abnormal findings in specimens from digestive organs and abdominal cavity"
R856,"Abnormal cytological findings in specimens from digestive organs and abdominal cavity"
R8561,"Abnormal cytologic smear of anus"
R8569,"Abnormal cytological findings in specimens from other digestive organs and abdominal cavity"
R857,"Abnormal histological findings in specimens from digestive organs and abdominal cavity"
R858,"Other abnormal findings in specimens from digestive organs and abdominal cavity"
R859,"Unspecified abnormal finding in specimens from digestive organs and abdominal cavity"
R86,"Abnormal findings in specimens from male genital organs"
R87,"Abnormal findings in specimens from female genital organs"
R876,"Abnormal cytological findings in specimens from female genital organs"
R8761,"Abnormal cytological findings in specimens from cervix uteri"
R8762,"Abnormal cytological findings in specimens from vagina"
R8769,"Abnormal cytological findings in specimens from other female genital organs"
R877,"Abnormal histological findings in specimens from female genital organs"
R878,"Other abnormal findings in specimens from female genital organs"
R8781,"High risk human papillomavirus (HPV) DNA test positive from female genital organs"
R8782,"Low risk human papillomavirus (HPV) DNA test positive from female genital organs"
R8789,"Other abnormal findings in specimens from female genital organs"
R879,"Unspecified abnormal finding in specimens from female genital organs"
R88,"Abnormal findings in other body fluids and substances"
R89,"Abnormal findings in specimens from other organs, systems and tissues"
R90,"Abnormal findings on diagnostic imaging of central nervous system"
R908,"Other abnormal findings on diagnostic imaging of central nervous system"
R91,"Abnormal findings on diagnostic imaging of lung"
R92,"Abnormal and inconclusive findings on diagnostic imaging of breast"
R93,"Abnormal findings on diagnostic imaging of other body structures"
R934,"Abnormal findings on diagnostic imaging of urinary organs"
R9342,"Abnormal radiologic findings on diagnostic imaging of kidney"
R9349,"Abnormal radiologic findings on diagnostic imaging of other urinary organs"
R935,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
R936,"Abnormal findings on diagnostic imaging of limbs"
R937,"Abnormal findings on diagnostic imaging of other parts of musculoskeletal system"
R938,"Abnormal findings on diagnostic imaging of other specified body structures"
R939,"Diagnostic imaging inconclusive due to excess body fat of patient"
R94,"Abnormal results of function studies"
R940,"Abnormal results of function studies of central nervous system"
R941,"Abnormal results of function studies of peripheral nervous system and special senses"
R9411,"Abnormal results of function studies of eye"
R9412,"Abnormal results of function studies of ear and other special senses"
R9413,"Abnormal results of function studies of peripheral nervous system"
R942,"Abnormal results of pulmonary function studies"
R943,"Abnormal results of cardiovascular function studies"
R944,"Abnormal results of kidney function studies"
R945,"Abnormal results of liver function studies"
R946,"Abnormal results of thyroid function studies"
R947,"Abnormal results of other endocrine function studies"
R948,"Abnormal results of function studies of other organs and systems"
R97,"Abnormal tumor markers"
R972,"Elevated prostate specific antigen [PSA]"
R978,"Other abnormal tumor markers"
R99,"Ill-defined and unknown cause of mortality"
